	Currently updating names of things										*Starred are learnable Arts		
Name	Client	Client Location	Story	Lv.	Party	Required	Prohibited	Prereqs	Credits	Exp	Rewards	Objective	Notes
We Were Soldiers	Vandham	BLADE Barracks	3	12	4	Elma,Lin	Irina,Gwin,Doug	Elma - ♥	10000	170	Distinguished Uniform,*Shadowstrike	Collect the 3 White Whale parts at Northpointe Beach in Primordia; Head to North Janpath Plain; Defeat Intimidator Simius; Find Irina in Janpath North Plain; Talk to Vandham	
Then and Now	Elma	BLADE Barracks	12	58	4	Elma,Lin	-	Elma - ♥♥♥♥	520000	510	Fig: Unknown (Male),Fig: Unknown (Female),*Ghost Factory	Head to the Fallshorn Isle in Primordia between 17:00~18:59 during clear weather, and fight 1 Demise Ictus; Head to Kevin Mts in Oblivia and fight 2 Gleaming Sphinx	The Ictus is a pushover, but those Gleaming Sphinx are level 80. If you aren't running some sort of overpowered ground build or a good team of lv50 frames, you may want a lv60 frame for this mission. If they're that much of a problem, try luring one away and fighting it alone. Theroid Slayer XX augments are also easy to make.
The Repair Job	Lin	BLADE Barracks	3	13	4	Elma,Lin	-	Lin - ♥	A: 9000 B: 10000	A: 160 B: 170	*Fire Carnival	Talk to Barl; Head to Shooting Star Valley in Primordia and collect 3 L-002 Power Cables; Deliver them to Bart, choose "Grumble" for A, "Persist" for B; A: Mission ends; B: Collect 5 White Cometite, 2 Energy Tubes, 4 Cruise Deflector AiRs; Deliver them to Bart;	White Cometite come from FN Spots 115 and 118, Energy Tubes are dropped by Puges(Seaswept Base), Cruise Deflector AiRs are found in the western area Oblivia
To Serve Nopon	Lin	BLADE Barracks	12	52	4	Elma,Lin	-	Lin - ♥♥♥♥,BFFs,Sparking a Smile,Trade Agreement	52000	510	Supreme Swimsuit Top,Supreme Swimmer's Band R,Supreme Swimmer's Band L,FILE-USP0380GG,*Drum Roll	Ask Ngogo and Pirapira for recipes, then ask Warawa; Head to the BLADE Barracks; Gather Intel in the Administrative District; Head to Forgotten Mining Frigates in Cauldros, and fight 1 Grudge Tersqual	The Intel is by the transport ship west of the BLADE Tower. The Tersqual's got a lot of HP, but lv50 frames shouldn't have any problem.
Renewed Will	Vandham	Commercial District	3	15	3	Elma,Lin	Irina	-	9000	160	*Smooth Recovery	Defeat 4 Matinal Evello; Head to Grieving Plains in Primordia, and fight 1 Brume Auravis	
Fathers and Sons	Vandham	BLADE Barracks	11	50	4	Elma,Lin Irina	-	Irina - ♥♥♥♥	41000	460	FILE-USP1080GG,*Quick Cannon	Talk to Kiefer Cole; Talk to Leland Cole; Inspect the mineral deposits to gather 5 Flemtide; Deliver them to Leland Cole; Talk to Kiefer Cole	This mission is stupid. You should have access to level 50 frames if you're here, use them if you need to
Nine Lives	Mathias	Commercial District	5	20	4	Elma,Lin,Gwin	-	-	13000	220	Pet: Abyssinian,*Ultraslash	Gather Intel in lower Administrative District; Talk to Mathias; Follow Mathias to Cliffside Beach in Primorida, and fight 1 Shallows Grex; Gather 3 Kiran Catnip; Talk to Mathias, and fight 1 Greedy Forfex; Talk to Mathias at Division Drive	The intel is in the northwest part of the Hangar, near Doug. This quest unlocks the ability to add pets to your BLADE Barracks, which are required for certain Heart-to-Hearts
Boot Camp	Gwin	Industrial District	10	41	3	Elma,Lin	Irina,Gwin	Gwin - ♥,Nine Lives	30000	410	*Grenade Blitz	Spar with Gwin; Purchase a Soldier Assault Rifle from the shop; Talk to Gwin; Complete Elma's Task A/B/C; Return to the Outfitter's Test Hangar and fight Gwin again	Check the Normal Missions tab for details on sub-missions
Close Comrades	Doug	Admin District	4	20	3	Elma,Lin	Doug,Lao	-	11000	190	*Starlight Duster	Gather data at the three Unusual Plants in Decapotamon in Noctilum; Head to the fourth spot in Qing Long Grove, and defeat 5 Arrow Germivore; Add Doug to the party, then fight Arrow Cinicula and 5 Arrow Germivore; Talk to Lao at Barista Court	Be careful fighting the enemies, at night there are Ceto that fly above, and during the day Virago wander. Allies and AoEs = bad time. If you die you, try luring just the Germivores out and kill them first.
