		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Augment Name	Effect	Material 1	Material 2	Material 3	Rare Resource	-	I -> II	II -> III	III -> IV	IV -> V	V -> VI	VI -> VII	VII -> VIII	VIII -> IX	IX -> X	X -> XI	XI -> XII	XII -> XIII	XIII -> XIV	XIV -> XV	XV -> XVI	XVI -> XVII	XVII -> XVIII	XVIII -> XIX	XIX -> XX																						
Melee Acc Up I	Melee Acc +10	1 Muscled Suid Bulge	-	-	1 Arc Sand Ore		Melee Acc +12	Melee Acc +14	Melee Acc +16	Melee Acc +18															
Melee Acc Up V	Melee Acc +18	2 Muscled Suid Bulge	-	-	1 Lionbone Bort		1 Muscled Suid Bulge	1 Muscled Suid Bulge	1 Muscled Suid Bulge																
Melee Acc Up X	Melee Acc +28	3 Muscled Suid Bulge	-	-	1 Enduron Lead																				
Melee Acc Up XV	Melee Acc +40	4 Muscled Suid Bulge	-	-	1 Boiled-Egg Ore																				
Melee Acc Up XX	Melee Acc +50	5 Muscled Suid Bulge	-	-	1 Marine Rutile																				
Ranged Acc Up I	Ranged Acc +10	1 Appetizing Suid Tail	-	-	1 Arc Sand Ore		Ranged Acc +12	Ranged Acc +14	Ranged Acc +16	Ranged Acc +18															
Ranged Acc Up V	Ranged Acc +18	2 Appetizing Suid Tail	-	-	1 Lionbone Bort																				
Ranged Acc Up X	Ranged Acc +28	3 Appetizing Suid Tail	-	-	1 Enduron Lead																				
Ranged Acc Up XV	Ranged Acc +40	4 Appetizing Suid Tail	-	-	1 Boiled-Egg Ore																				
Ranged Acc Up XX	Ranged Acc +50	5 Appetizing Suid Tail	-	-	1 Marine Rutile																				
Melee Attack Up I	Melee Atk +10	1 Muscled Suid Bulge	-	-	1 Arc Sand Ore		Melee Atk +15	Melee Atk +20	Melee Atk +25	Melee Atk +30	Melee Atk +35	Melee Atk +40	Melee Atk +45	Melee Atk +50	Melee Atk +55	Melee Atk +60	Melee Atk +65	Melee Atk +70	Melee Atk +75	Melee Atk +80					Melee Atk +150
Melee Attack Up V	Melee Atk +30	2 Muscled Suid Bulge	-	-	1 Lionbone Bort		1 Muscled Suid Bulge																		
Melee Attack Up X	Melee Atk +55	8 Blue Sylooth Brace	8 White Sylooth Brace	8 Muscled Cantor Bulge	2 Everfreeze Ore																				
Melee Attack Up XV	Melee Atk +80	24 Blue Sylooth Brace	24 White Sylooth Brace	24 Muscled Cantor Bulge	8 Foucaultium																				
Melee Attack Up XX	Melee Atk +150	48 Blue Sylooth Brace	48 White Sylooth Brace	48 Muscled Cantor Bulge	16 Bonjelium																				
Ranged Attack Up I	Ranged Atk +10	1 Appetizing Suid Tail	-	-	1 Arc Sand Ore		Ranged Atk +15	Ranged Atk +20	Ranged Atk +25	Ranged Atk +30	Ranged Atk +35	Ranged Atk +40	Ranged Atk +45	Ranged Atk +50	Ranged Atk +55	Ranged Atk +60	Ranged Atk +65	Ranged Atk +70	Ranged Atk +75	Ranged Atk +80					Ranged Atk +150
Ranged Attack Up V	Ranged Atk +30	2 Appetizing Suid Tail	-	-	1 Lionbone Bort																				
Ranged Attack Up X	Ranged Atk +55	8 O.X. Unit	8 Eternal Arenatect Moss	8 Green Jacul Wing	2 Everfreeze Ore																				
Ranged Attack Up XV	Ranged Atk +80	24 O.X. Unit	24 Eternal Arenatect Moss	24 Green Jacul Wing	8 Foucaultium																				
Ranged Attack Up XX	Ranged Atk +150	48 O.X. Unit	48 Eternal Arenatect Moss	48 Green Jacul Wing	16 Bonjelium																				
