Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Callow Grex	Grex	Theroid	Primordia	Prologue	3	29	1153	40	88	33	76	37	15	0/0/-25/-50/0/0		---	---	---	---	---	---	---					
Elder Grex	Grex	Theroid	Primordia	Prologue	4	34	1414	44	90	37	78	41	17	0/0/-25/-50/0/0		---	---	---	---	---	---	---					
Young Grex	Grex	Theroid	Primordia	106NE,107N,114NE,116,118NW	1~10	21~59	1646~9388	36~127	107~126	30~106	92~109	34~118	15~34	0/0/-25/-50/0/0		Grex Wisdom Tooth	Jagged Grex Tail	White Mirrorglass	Slimy Tongue	Muddy Pelt	---	---		---	SA - B	---	---
Bush Grex	Grex	Theroid	Primordia	103E/NE,106NE,107N,118NW	11~20	63~109	10326~24974	138~242	128~146	115~202	111~127	128~225	36~55	0/0/-25/-50/0/0		Grex Wisdom Tooth	Jagged Grex Tail	White Mirrorglass	Slimy Tongue	Muddy Pelt	---	---		---	SA - B	---	---
Giant Grex	Grex	Theroid	Primordia	103NE,110W(lo),118NW,120NW	21~30	118~193	23265~39631	269~397	148~179	225~332	129~157	250~369	57~89	0/0/-25/-50/0/0		Grex Wisdom Tooth	Jagged Grex Tail	White Mirrorglass	Slimy Tongue	Muddy Pelt	---	---		---	SA - B	---	---
Lawless Grex	Grex	Theroid	Primordia	102N,104,106,110(lo),111SE,112W,120NW,Beasts'Lair	31~40	202~286	41329~57855	413~564	182~210	346~473	160~185	385~525	92~120	0/0/-25/-50/0/0		Grex Wisdom Tooth	Jagged Grex Tail	White Mirrorglass	Slimy Tongue	Muddy Pelt	---	---		---	SA - B	---	---
Dieter, the Epicure	Grex	Theroid	Primordia	112W on ledge	39	572	157237	780	217	654	191	726	123	5/5/-20/-45/5/5		Grex Wisdom Tooth	Jagged Grex Tail	White Mirrorglass	Slimy Tongue	Muddy Pelt	---	---		---	SA - B	---	---	Y
Celestin, the Spring Storm	Progen	Theroid	Primordia	104NW - Headwater Summit	50	780	219915	982	252	957	252	1008	169	5/5/-20/-45/5/5		Progen Hoof Seal	Ornate Progen Horn	Golden Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---	Y
Young Simius	Simius	Theroid	Primordia	[5:00~19:00]: 106N,115S	11~20	88~153	13441~28603	201~353	121~139	179~315	117~134	175~307	35~53	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Red Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Rock Simius	Simius	Theroid	Primordia	106N,107(hi),116,TallpachPeak,121S	21~30	165~270	30284~51586	393~579	141~170	350~516	136~165	342~504	55~85	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Red Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
