									
Zone/ Category	Probe/ Figure	Filling in a RED(starred ingame) cell gains 2 BP. Completing a category for a single Zone gains 5 BP and a Figure. Completing a category across all five zones gains 16 BP. Completing an entire Zone gains 32 BP and a Probe.					Bold items can be found anywhere in the Zone		
Primordia	Booster Probe G2								
Vegetables	Knife Series	Ajira Melon | 108~111	Lacey Potato | 102,104,107	Sadelana Lettuce | 116,119,120	Mosa Cabbage | 117,118,121	Keppo Carrot | 102,104,107,112,114	Amidresian Tomato | 112,114		
Fruits	Gemels Series	Cranjelly | Northern Coast	Rock-Orange | 116,119,120	Strawlenny | 102,104,107	Starlight Apple | 102,104,107	Mondcherry | 116,119,120	Sonar Lemon | 117,118,121		
Flora	Sakuraba Medium (Male)	Zesian Fleawort | 101,103,105,106	Noranlily | Arendt	Sweet Nerine | 102,104,107	Kiran Catnip | 101,103,105,106	Doga Dandelion | 116,119,120	Sona Herb | Northern Coast	Garudo Pellionia Minima | caves	Nirvana Jonquil | 112,114,116,119,120, Northern Coast
Fauna	Dual Guns Series	Rizattice | 103,114,caves	Coaletri | 108~111	Grinding Squirrel | Arendt	Crawling Bat | 101,103,105,106	Golden Sardine | 102,104,107	Zizi Rabbit | 101,103,105,106	Ashizel | 116,119,120	
Insects	Grenada Medium (Female)	Ball Mosquito | caves	Stretching Locust | 112,114	Tractor Beetle | 117,118,121	Multi-Speckled Ladybug | 112,114,caves	Meteo Eater | 117,118,121	Vagabond Ant | 112,114	Assassin Springtail | 117,118,121	
Natural Artifacts	Blades Series	Logunie's Driftwood | Arendt	White Iron Sand | 117,118,121	Fillal Filth | 108~111,Arendt	Sanelac Pearl | 108~111,caves	Arnacian Orewood | 102,104,107	Auroran Bone | Arendt,caves		
Wreckage	Sakuraba Skell (Male)	Deflection Shield Mirror | 117,118,121	Anhydrous Radiator | 101,103,105,106	Heatproof Inox Pipe | 116,119,120	L-002 Fuel Tank | 112,114	L-002 Space Analyzer | Northern Coast	US-X Space Suit | Northern Coast	Centrifugal Beam Generator | 112,114	
Relics	Assault Series	Jagged Mortar | Northern Coast	Acorn Abacus | Arendt,Northern Coast	Facewood | Arendt	Hemp Wallet | 101,103,105,106	Hummingstone | 102,104,107, 117,118,121			
Xenotech	Parce Series	High Accelerator | 108~111	Crush Ring | Arendt	T-Ray Light | 116,119,120	Flecked Bottle | 108~111	Grosium Core | 101,103,105, 106,108~111			
Curios	Shield Series	Meditation Powder | 108~111	California Sunset | caves	Mirage Scope | caves	Ancient Allure | 101,103,105,106	Goddess's Kiss | Northern Coast			
									
Noctilum	Fuel Recovery Probe								
Vegetables	Paive Series	Caseras Mushroom | 201,206,207,213	Zandemo Eggplant | 212,216,218,224	Flowering Morrow Fern | 201,206,207,212, 213,216,218,224	Fodornallow Greens | 212,216,218,224	Sibercaseras Mushroom | 210,211,217, 222,caves			
Fruits	Grenada Medium (Female)	Socha Guava | 202~204,208	Prapaya | 201,206,207,213	Babaco Leaf | 219~220,225	Amana Durian | 219~220,225	Lava Mango | 210,211,caves	Sour Plum | 205,209, midbeach,caves	Bananaleaf | 219~220,225	Godmelon | 202~204,208, 219~220,225
Flora	Machine Series	Timid Sunflower | 210,211	Lea Lily | 214,215,223	Chameleon Creeping Plant | 219~220,225	Muneria Flower | 217,222	Sekka Cosmos | 217,222	False Cedar | 219~220,225	Sleeping Amaryllis | 212,216,218,224	
Fauna	Sakuraba Heavy (Female)	Rock Armadillo | caves	Morphling Flounder | 205,209,midbeach	Gluttonutan | 202~204,208	Iguari | 219~220,225	Mirrored Peacock | 210,211	Continental Jellyfish | 202~204,208		
Insects	Slair II Series	Noctilucent Dragonfly | 212,216,218,224	Strobing Horsefly | 214,215,223	Tenacious Moth | 201,206,207,213	Madame Mantis | 210,211	Madness Hornet | 217,222	Pardo Spider | 210,211	Kusakiri Stag Beetle | 217,222	Absop's Swallowtail | 202~204,208, 217,222
Natural Artifacts	Lastyr Series	Katoan Leaf | 205,209,midbeach	Gluttonutan Clay | 219~220,225	Cane Soil | caves	Noka Mirrorstone | 201,206,207,213,caves	Galjim Crystal | 214,215,223	Harnenga Cotton | 202~204,208	Eternal Moss | 205,209,midbeach	
Wreckage	Psylans Series	Earthfreezer | 217,222	Nostalgia L-002 | 212,216,218,224	HI9 Ion Thruster | 202~204,208	Mk. IX Hypercooler | 212,216,218,224	Gesture Glove | 205,209,midbeach	3D Printer | 201,206,207, 210,211,213		
Relics	Sakuraba Light (Male)	Loathsome Blob | 205,209,midbeach	Sea Anemone Platter | 202~204,208	Logunie's Driftwood Boat | 205,209,midbeach	Shiny Lamp | caves				
Xenotech	Avagar Series	Brain Terminal | 210,211	Hexagauge | 214,215,223	Joadtank | 201,206,207,213	Resonating Madonater | 212,214~216, 218,223,224				
Curios	Saber Series	Gleaming Magnet | 214,215,223	Fraudulent Mirror | 214,215,223,caves	Scales of Justice | 217,222	Spherical EM Motor | 214,215,223	Primitive Colossus Statue | 201,205,206,207, 209,213,midbeach			
									
Oblivia	Research Probe G5								
