Dilus									
									
Base Stats By Species Members	HP	Melee Attack	Melee Accuracy	Ranged Attack	Ranged Accuracy	Evasion	Potential	Size	
Dilus	1593	1800	1100	1425	975	900	1350	L	
Dilus Tyrant	3584	1890	1155	1496	1023	945	1417	L	
									Sarcosuchus, the Iron Eater
Resistances	Dilus	Dilus Tyrant							
Physical	0	5							
Beam	0	5							
Ether	-25	-20							
Thermal	-50	-45							
Electric	0	5							
Gravity	0	5							
Debuff Immunity		Control							
Debuff Resistant	Topple & Control	Topple & Control							
									
Auras	Members	Trigger	Effect	Tier	Duration				
Enrage	Dilus Above Lv. 20	60% Health, or Break any Appendage	Boosts Melee Attack, Boosts Ranged Attack, Boosts Potential	IV	60 Seconds				
	Dilus Tyrants	60% Health, or Break any Appendage	Boosts Melee Attack, Boosts Ranged Attack, Boosts Potential	V	60 Seconds				
									
Species Arts List	Bite	Tail Swing	Roar	Needle Bomb	Bubble Shower	Mega Bite			
Type	Melee	Melee	Melee	Ranged	Ranged	Melee			
Target	Single Target	Floor Around Caster	Nearby Enemies	Multi Targeted Blasts	Nearby Enemies	Enemies Ahead			
No. of Hits	1	1	1	4	3	2			
Attribute	Physical	Physical	Physical	Thermal	Ether	Physical			
Damage Scaling	100%	200%	100%	200%	136%	500%			
Recast	3 Seconds	15 seconds	30 Seconds	15 Seconds	15 Seconds	60 Seconds			Sheldon, the Dentally Challenged
Boost						Critical Chance +10			
Debuff		Knockback	Physical Res Down		Fatigue	Stagger II			
Disabled by Destroying -		Tail			Back	Eye			
Homing				Yes					
									
Appendages	Main Body	Eye	Back	Tail					
Hardness	N/A	0	0	0					
Skell Targetable	Yes	Yes	Yes	Yes					
Exposed by -									
									
Species Drops									
Materials	Muddy Pelt	Quality Pelt	Cloudy Eyeball	Pristine Dorsal Fin	Moving Dilus Tail	Crimson Dilus Eye	Amber Dilus Eye		
Dropped From -	All	All	Eye	Back	Tail	Eye	Eye		
									
Use in Augments	Melee: Electric Res Down*	N/A	Boosts Evasion (High Level)	Reflect Damage Up (Rank V)	Overdrive Blue Bonus	Overdrive Blue Bonus	Overdrive Green Bonus		
	Nullify Electric Reflect*		SpecUp.EVA (High Level)	Reflect.DAMAGE-UP (Rank V)					
	Extened Electric Res Down*								
	M-AUTO.ELEC-DOWN*								
	Reflect.NEG-ELEC*								
	TimeEX.ELEC-DOWN*								
									
Use in Gear Crafting		Six Stars Ritual Attire							
									
Armor	Grenada Medium Wear								
Weapons	No								
Skell Armor	No								
Skell Weapons	No								
