	Germivore							
								
Base Stats By Species Members	HP	Melee Attack	Melee Accuracy	Ranged Attack	Ranged Accuracy	Evasion	Potential	Size
Germivore	743	950	950	950	950	1100	1000	1
Lomoth	1671	997	997	997	997	1155	1050	1
Florence	1965	1098	997	1098	997	1155	1155	2
								
Resistances	Germivore	Germivore Tyrant						
Physical	35	40				Lomoth, the Beast Eater		
Beam	0	5						
Ether	-25	-20						
Thermal	-25	-20						
Electric	0	5						
Gravity	0	5						
Debuff Immunity		Control						
Debuff Resistant	Topple & Control	Topple & Control						
								
Auras	Members	Trigger	Effect	Tier	Duration			
Enrage	Germivore above Lv.20	30% Health	Boosts Melee Attack, Boosts Ranged Attack, Boosts Potential	III	60 Seconds			
	Germivore Tyrants	30% Health	Boosts Melee Attack, Boosts Ranged Attack, Boosts Potential	IV	60 Seconds			
								
Species Arts List	Slash	Chirp	Viscid Acid	Flying Slash		Florence, the Hell-Maggot		
Type	Melee	Ranged	Ranged	Melee				
Target	Single Target	Nearby Enemies	Single Target	Single Target				
No. of Hits	1	1	2	1				
Attribute	Physical	Physical	Physical	Electric				
Damage Scaling	100%	100%	100%	250%				
Recast	3 Seconds	15 Seconds	3 Seconds	60 Seconds				
Boost				Critical Chance +5				
Debuff		Fatigue	Slow Arts					
Disabled by Destroying -			Posterior					
Homing								
								
Appendages	Main Body	Posterior						
Hardness	N/A	0						
Skell Targetable	Yes	Yes						
Exposed by -								
								
Species Drops								
Materials	Sticky Mucus	Insect Jaw	Flowering Germivore Scales	Shed Germivore Scales	Sharp Germivore Jaw			
Dropped From -	All	All	Posterior	Posterior	All			
								
Use in Augments	Chimeroid Criticals Up (Low Level)	Weapon Attack Power Up (Low Level)	Overdrive: Gain TP	Appendage Crusher	Physical Attack Plus (Low Level)			
	Chimeroid Slayer (Low Level)	Custom.WP-ATK (Low Level)	Overdrive.GP		AttributeDMG.PHYS (Low Level)			
	CritUp.CHIMEROID (Low Level)							
	Slayer.CHIMEROID (Low Level)							
								
Use in Gear Crafting		Lv. 20 Archetype Weaponry						
								
Armor	Sakuraba Medium Wear (Blue Only)							
	Sakuraba Heavy Wear (Violet Only)							
	Six Stars Heavy Wear							
								
Weapons	Yes							
Skell Armor	No							
Skell Weapons	No							
