Name	Gear Slot	Maker	Lv	Defense	set defense (sum)	Battle Traits	Upgrades	 Attr. Resistances	Mat0	Mat1	Mat2	Mat3	Mat4	Mat5	Mat6
Six Stars Ritual Bodywear	Torso	Six Stars	1	1	3	Heat Wave Screen	0	0/0/0/0/0/25	5 Telethia Mirror	10 Vibrant Plume	10 Quality Pelt	20 Supple Leather	20 Fleecy Fur	-	1 White Cometite
Six Stars Ritual Band R	R Arm	Six Stars	1	1		Brimstone Rain Screen	0	0/0/0/0/0/25	5 Telethia Mirror	10 Vibrant Plume	10 Quality Pelt	20 Supple Leather	20 Fleecy Fur	-	1 White Cometite
Six Stars Ritual Band L	L Arm	Six Stars	1	1		EM Storm Screen	0	0/0/0/0/0/25	5 Telethia Mirror	10 Vibrant Plume	10 Quality Pelt	20 Supple Leather	20 Fleecy Fur	-	1 White Cometite
Six Stars Ritual Legwear	Legs	Six Stars	1	1	1	Meteor Shower Screen,Untouchable Dash XX	0	0/0/0/0/0/25	5 Telethia Mirror	10 Vibrant Plume	10 Quality Pelt	20 Supple Leather	20 Fleecy Fur	-	1 White Cometite
Supercivilization Attire	Full-Body	Unknown	1	120	120	Gravity Resistance Up X,Treasure Sensor XX	0	50/0/30/0/0/0	1 Telethia Emerald	10 Telethia Stem Cell	1 Metal Xeno Chain	5 Warrior Race's Seal	-	-	1 Dawnstone
Elite Supercivilization Attire	Full-Body	Unknown	1	80	80	Gravity Resistance Up X,Potential Boost XX	0	50/0/30/0/0/0	1 Telethia Emerald	10 Telethia Stem Cell	1 Metal Xeno Chain	5 Warrior Race's Seal	-	-	1 Dawnstone
Black Bunnyband	Head	Candid & Credible	1	2		Soft Touch XX	0	5/5/5/5/5/5	5 Infinite Telethia Pen	10 Telethia Mirror	20 Mephite Ear Hair	20 Sharp Ear	-	-	1 Dawnstone
Red Bunnyband	Head	Candid & Credible	1	2		Soft Touch XX	0	5/5/5/5/5/5	1 Telethia Emerald	10 Telethia Stem Cell	1 Metal Xeno Chain	5 Levitath Feather	-	-	1 Dawnstone
White Bunnyband	Head	Candid & Credible	1	2		Soft Touch XX	0	5/5/5/5/5/5	1 Telethia Ring	2 Telethia Emerald	30 Telethia Stem Cell	2 Ryyz's Silver Piercings	7 Lucky Rainbow Whisker	-	1 Dawnstone
Bunnytop	Torso	Candid & Credible	1	5		Treasure Sensor X	0	5/5/5/5/5/5	1 Telethia Ring	2 Telethia Emerald	30 Telethia Stem Cell	2 Ryyz's Silver Piercings	7 Lucky Rainbow Whisker	10 Fleecy Fur	1 Infernium
