the	currently replacing Japanese names with English							You can purchase all enemy drops from the online console in the BLADE Barracks using Reward Tickets.			
Name	Client	Location	Story	Prereqs	Gold	Exp	Reward	Objectives	Notes		
Myles to Go	Satie	Admin District (East Gate)	2	-	5000	110	Makeshift Gauze Eyepatch	Talk to Myles; Kill 1 Whimsical Duoguill; Talk to Myles	You can kill the duoguill before talking to Myles		
Better Latte Than Never	Jo	Commercial District (Sunshine Café)	2	-	5000	110	Bargain Heart Glasses	Obtain 3 Heatproof Inox Pipes; Give them to Jo; Talk to Jo; Obtain 2 L-002 Fuel Tanks; Give them to Jo	Jo doesn't appear from 0:00~5:00. Inox Pipes are found south of Janpath Lake; Fuel Tanks are found near Sayram Lake.		
BLADE Level Basics	Eleonora	Admin District	3	-	-	-	Holofigure Projector	Raise your BLADE Level to 2+; Talk to Eleonora			
Yardley's Scheme	Yardley	Industrial District	3	-	-	110	-	Obtain 1 California Sunset; 4 L-002 Space Analyzers; Deliver them to Yardley	California Sunsets are found in caves in Primordia; Analyzers are found along the northern coast		
Data Miner	Gigio	Noctilum	3	-	7000	130	Adhesive Bandage	Inspect the Skell in Rust Lake; Defeat 1 Devil Mephite in Whale's Nostril; Talk to Gigio			
The Trading Floor	Mumun	Oblivia	3	-	A: 30000 B: 3000	150	Fig: Nopon Tower vs. Prone;Fearsome Devil Horns	Head to the Sea Whisper Valley entrance; Head into Sea Whisper Valley; and choose "Compromise" for A; or "Fight" for B; A: Collect 14 Kiweggs; Deliver them to Prone Keeper B: Defeat 1 Prone Keeper; 2 Prone Fighter	You can sneak past the Puges and Marnucks in the valley; and go through a gap to reach the Prone Keeper. Kiweggs are found around Lake Basel; but are fairly annoying to gather without a Skell. Allowing the Prone to live upsets Mumun anyway		
Forest Foray	Sullivan	Industrial District	3	Noctilum>15%	6000	130	Limited NVD	Collect 3 Sekka Cosmos; Deliver them to Sullivan; Collect 6 Phosphorous-Tree Seeds at Rust Lake; Deliver them to Sullivan	There are more than six tree-seeds in Rust Lake		
Supplies Surprise	Nalu	Cauldros	4	-	9000	160	Fig: Dance of Deception;Youthful Sheep Horns	Obtain 6 Deflection Shield Mirrors; 3 Multi-Mirror Solar Drones; and 5 Mk. IX Hypercoolers; Deliver them to Nalu; Talk to Nalu; and on the third choice select "Accept" for A or "Reconsider" for B; A: Collect 1 A-HAB Autonomous AI and 8 Nostalgia L-002 Units; Deliver them to Nalu B: Talk to Lularita; Collect 1 A-HAB Autonomous AI; 8 Nostalgia L-002 Units; and 10 Bullet Flies; Deliver the Bullet Flies to Lularita; Deliver the rest to Nalu	Nalu is north of 502. Shield Mirrors are found at North Janpath Plain in Primordia; Solar Drones at Oblivia's entrance; Hypercoolers at Noctilum's Decapotamon. A-HABs are found in northeast Sylvalum(not on mountain); Nostalgias at the Decapotamon; and Bullet Flies in western Cauldros/caves.		
A Tip of the Cap	Nosusu	Noctilum	4	The Ties That Bind	9000	170	Soft Cat Ears	Obtain 6 Noctilucent Dragonflies; 1 Harnega Cotton; 2 Lava Mangos; Deliver them to Nosusu; Gather 2 Vibrant Plumes OR 2 Fluffy Tufts; Deliver either to Nosusu	Vibrant Plumes are from Saltats; Fluffy Tufts from Mortifoles. Your choice affects the hat Nosusu(and other Nopon?) wears afterwards		
A Proper Chopper	Roscoe	Industrial District	4	-	A:10000 B:20000	180	Fig: Meredith Light (Male);Fig: Meredith Light (Female)	Head to Sunlit Lake in Noctilum; Defeat 5 Jovial Saltats; Talk to Howard; Obtain 2 Anhydrous Radiators; 1 Spherical EM Motor; Deliver them to Ciska; Inspect the Helicopter's Main Rotor; choose "Blue" for A or "Red" for B; Talk to Ciska; Talk to Roscoe	Although the credits rewarded for B are higher; Howard will die. He survives if you choose A.		
