Name	Frame Type	Required Miranium	HP	Frame Lv.	Armor	R.Acc	R.Pow	Eva	GP	Skell Insurance	Fuel	M.Acc	M.Pow	Pot.	Attr. Res	Battle Traits	Mat0	Mat1	Mat2	Mat3	Mat4	Mat5	Mat6	Cost Tickets Σ
US0232 Police	Light	10000	11000	30	180	220	49	95	3000	10	11520	230	105	320	20/50/30/10/50/-30		1 Hidden Cantor Hoard	1 Galaxy Jewel	1 Multi-Wire	2 Enduron Lead				174
US0830 Dozer	Heavy	10000	12700	30	343	204	92	40	3000	10	18000	329	116	200	30/20/10//10/40/-60		1 Advanced Thruster	1 New Cylinder	1 Standard Sensor Part	2 Boiled-Egg Ore				42+?+?+?
Formula Zero	Light	10000	17000	60	1360	710	471	195	3000	10	10560	700	387	650	30/30/50/60/30/60		5 Rexoskell Sucker	3 Crude Neilnail Mask	4 Xe-dom Crimson Crest	10 Ancient Armor	8 Advanced Crank	12 Xe-dom Hand	2 Ouroboros Crystal	5428
Verus Cain	Light	10000	17850	60	1600	350	395	193	3000	10	15560	400	783	680	30/50/40/50/30/70		10 Rexoskell Sucker	4 Crude Neilnail Mask	8 Xe-dom Golden Crest	6 Ancient Armor	12 Advanced Crank	2 Xe-dom Hand	2 Ouroboros Crystal	7028
Lailah Queen	Medium	10000	21000	60	1850	715	451	80	6000	10	13920	350	570	550	40/60/50/50/50/40	Ranged Accuracy / Jamming	6 Rexoskell Sucker	4 Crude Neilnail Mask	12 Xe-dom Silver Crest	2 Ancient Armor	8 Advanced Crank	10 Xe-dom Hand	2 Ouroboros Crystal	6932
Urban Lincoln	Light	10000	21500	60	1710	385	318	193	3000	10	11280	395	501	700	30/30/80/80/30/50		8 Rexoskell Sucker	6 Crude Neilnail Mask	6 Xe-dom Jet-Black Crest	6 Ancient Armor	4 Advanced Crank	12 Xe-dom Hand	2 Ouroboros Crystal	7012
Inferno Skydon	Medium	10000	22350	60	2250	385	628	78	6000	10	15600	710	806	470	50/30/50/30/50/30		12 Rexoskell Sucker	2 Crude Neilnail Mask	8 Xe-dom Crimson Crest	6 Ancient Armor	6 Advanced Crank	8 Xe-dom Hand	2 Ouroboros Crystal	6296
Mastema White Reaper	Heavy	10000	23500	60	2800	365	713	60	3000	10	20640	385	524	300	60/30/40/40/80/30	Beam / Electric	4 Rexoskell Sucker	2 Crude Neilnail Mask	6 Xe-dom Jet-Black Crest	10 Ancient Armor	12 Advanced Crank	12 Xe-dom Hand	2 Ouroboros Crystal	6924
Amdusias Hades	Heavy	10000	25850	60	3200	350	381	58	3000	10	28800	340	798	200	80/30/40/30/60/30	Physical / Thermal	6 Rexoskell Sucker	4 Crude Neilnail Mask	12 Xe-dom Golden Crest	4 Ancient Armor	8 Advanced Crank	8 Xe-dom Hand	2 Ouroboros Crystal	5892
US0850 Excavator	Heavy	10000	25950	60	607	255	178	76	3000	10	25200	260	190	460	40/10/10/10/50/-90		1 Seidr Control Device	1 Obsidian Cluster	1 Reinforced Crank	2 Ouroboros Crystal				336
US0860 Excavator	Heavy	30000	33350	60	3500	350	320	76	3000	10	26800	355	1270	500	80/30/40/60/30/50		2 Rexoskell Sucker	2 Crude Neilnail Mask	3 Xe-dom Crimson Crest	5 Seidr Control Device	4 Obsidian Cluster	5 Advanced Crank	2 Ouroboros Crystal
Ares 70	Medium	50000	32000	60	2000	345	501	195	3000	10	20160	355	720	1178	40/40/40/20/20/40	Potential / Evasion / Ether	4 Libertas Glyph	6 Crude Neilnail Mask	8 Xe-dom Silver Crest	4 Seidr Control Device	6 Advanced Core	8 Upgraded Lens	2 Infernium	4984
Ares 90	Medium	100000	41000	60	2650	370	647	225	3000	10	24000	380	930	1664	40/40/40/20/20/40	Potential / Evasion / Ether	2 Golden Yggralith Heart	4 Silver Vita Core	12 Crude Neilnail Mask	8 Seidr Control Device	12 Advanced Core	16 Upgraded Lens	2 Cimmerian Cinnabar	8320
Hraesvelg Lord	Light	30000	15800	60	1480	420	448	241	5100	10	10650	420	560	860	20/40/70/40/40/70	-	1 Vasara War Medal	2 Golden Armor	5 Xe-dom Jet-Black Crest	6 Ancient Armor	3 Advanced Chamber	3 Aeviter Death Stone	2 Ouroboros Crystal
