ID	Referenced By	stats	name	resource	c_name_id	mnu_vision_face
1	11 refs poplist0101#50 poplist0101#51 poplist0101#52 poplist0101#53 poplist0101#54 poplist0101#55 poplist0101#68 poplist0101#69 poplist0101#114 poplist0101#117 poplist0101#120	Little Bunnit	Little Bunnit	488	Bunnit	0
2	7 refs JNL_quest0101#Monster Quest 3 - Part 1 poplist0101#76 poplist0101#77 poplist0101#147 poplist0101#148 poplist0101#149 poplist0101#163	Hand Bunnit	Hand Bunnit	488	Bunnit	0
3	4 refs poplist0101#131 poplist0101#165 poplist0101#167 poplist0101#168	Knuckle Bunnit	Knuckle Bunnit	488	Bunnit	0
4	8 refs JNL_quest0101#Monster Quest 3 - Part 3 poplist0101#148 poplist0101#150 poplist0101#164 poplist0101#166 poplist0101#167 poplist0101#168 poplist0101#169	Wood Bunnit	Wood Bunnit	489	Bunnit	0
5		Hitter Bunnit	Hitter Bunnit	489	Bunnit	0
6	10 refs poplist0101#56 poplist0101#57 poplist0101#58 poplist0101#59 poplist0101#60 poplist0101#61 poplist0101#130 poplist0101#131 poplist0101#132 poplist0101#133	Junk Bunnit	Junk Bunnit	490	Bunnit	0
7	2 refs poplist0101#34 poplist0101#36	Common Caterpile	Common Caterpile	566	Caterpile	0
8	7 refs poplist0101#78 poplist0101#80 poplist0101#82 poplist0101#151 poplist0101#153 poplist0101#155 poplist0101#170	Praying Caterpile	Praying Caterpile	566	Caterpile	0
9	25 refs poplist0101#29 poplist0101#30 poplist0101#31 poplist0101#32 poplist0101#33 poplist0101#35 poplist0101#37 poplist0101#38 poplist0101#62 poplist0101#64 poplist0101#66 poplist0101#70 poplist0101#72 poplist0101#74 poplist0101#112 poplist0101#113 poplist0101#115 poplist0101#116 poplist0101#118 poplist0101#119 poplist0101#121 poplist0101#122 poplist0101#157 poplist0101#159 poplist0101#161	Little Skeeter	Little Skeeter	569	Skeeter	0
10	5 refs JNL_quest0101#Monster Quest 3 - Part 4 poplist0101#226 poplist0101#232 poplist0101#234 poplist0101#237	Light Skeeter	Light Skeeter	569	Skeeter	0
11	4 refs poplist0101#181 poplist0101#183 poplist0101#185 poplist0101#187	Chordy Skeeter	Chordy Skeeter	569	Skeeter	0
12	17 refs JNL_quest0101#Monster Quest 1 - Part 3 poplist0101#39 poplist0101#40 poplist0101#41 poplist0101#42 poplist0101#43 poplist0101#44 poplist0101#45 poplist0101#46 poplist0101#47 poplist0101#48 poplist0101#49 poplist0101#127 poplist0101#128 poplist0101#129 poplist0101#140 poplist0101#141	Colony Krabble	Colony Krabble	579	Krabble	0
13	6 refs poplist0101#197 poplist0101#199 poplist0101#201 poplist0101#204 poplist0101#206 poplist0101#208	Solid Krabble	Solid Krabble	579	Krabble	0
14	22 refs JNL_quest0101#Monster Quest 3 - Part 2 poplist0101#16 poplist0101#84 poplist0101#86 poplist0101#88 poplist0101#90 poplist0101#92 poplist0101#94 poplist0101#96 poplist0101#98 poplist0101#100 poplist0101#102 poplist0101#104 poplist0101#106 poplist0101#108 poplist0101#110 poplist0101#134 poplist0101#135 poplist0101#136 poplist0101#137 poplist0101#138 poplist0101#139	Beach Krabble	Beach Krabble	580	Krabble	0
15	11 refs JNL_quest0101#Monster Quest 2 - Part 3 poplist0101#192 poplist0101#193 poplist0101#194 poplist0101#195 poplist0101#196 poplist0101#198 poplist0101#200 poplist0101#202 poplist0101#205 poplist0101#207	Stone Krabble	Stone Krabble	580	Krabble	0
16	9 refs poplist0101#197 poplist0101#198 poplist0101#199 poplist0101#200 poplist0101#201 poplist0101#202 poplist0101#203 poplist0101#205 poplist0101#206	Marble Krabble	Marble Krabble	581	Krabble	0
17	6 refs poplist0101#124 poplist0101#145 poplist0101#146 poplist0101#240 poplist0101#241 poplist0101#242	Colony Piranhax	Colony Piranhax	589	Piranhax	0
18	8 refs poplist0101#209 poplist0101#210 poplist0101#211 poplist0101#212 poplist0101#218 poplist0101#219 poplist0101#220 poplist0101#221	Throne Sardi	Throne Sardi	590	Sardi	0
