Heart-to-Hearts								
Heart-to-Hearts are unlocked after completing Chapter 3. Each heart-to-heart corresponds to an affinity level and must be triggered in order.								
Affinity	Title	Location			Pre-requisites	Choices	Notes
		Zone	Area	Time of day			
Alexa
1	Hyper Railgun	Industrial District	Integrated Production Plant	Early Morning		Disdain +♥ or Inquire;Agree +♥ or Reassure	
2	Dragon's Maw	Administrative District	Blade Tower	Morning		Interupt +♥ or Admire	
3	Strike Launcher	Residential District	Deliverance Park	Anytime	Pet Dog	Interupt or Propose;Express Shock or Express Admiration +♥	Unavailable until Ch. 5
4	Meteor Launcher	Commercial District	North Founders Street	Anytime		Inquire +♥ or Reassure;Support +♥ or Undermine	
5	Pheonix Wings!	Administrative District	Hanger	Anytime	Rapid Misfire	Declare+♥, Conjecture, or Dismiss;Speculate +♥ or Divert	Unavailable until Ch. 11
Bozé
1	Preacher Man	Commercial District	West Melville Street	Morning		Aggression or Discretion +♥;Refuse +♥ or Agree	
2	Garbled Guardians	Residential District	Ishmael Hills	Evening	Pet Dog	Agree or Disagree +♥;Propose or Correct +♥	
3	Mastering Self	Industrial District	Behind the Outfitters Test Hanger	Anytime		Approve or Disapprove +♥;Harrier, Curator +♥, or Mediator +♥	
4	Renouncing Self	Residential District	Cathedral Bell Tower	Morning		Inquire or Chide +♥	
5	Worldly Desire	Residential District	Ishmael Hills	Anytime	Boze's Ignorance	Pizza, Predjudice, or Festivals	Unavailable until Ch. 9
Celica
1	This Fair City	Industrial District	Outfitters Test Hanger	Afternoon		Deflect, Laud +♥, or Boast	
2	Park Patrol	Residential District	Sports Complex	Morning		Speak of Images, Speak of History +♥, Speak of Facts	
3	Spending Time	Commercial District	West Melville Street	Morning		Boutiques +♥, L's, Toys	Boutiques and Toys have additional Choices but neither impact affinity
4	Cat in the Cradle	Industrial District	Integrated Production Plant	Anytime	Pet Cat	Wonder About Rock or Wonder about Cat +♥;Inquire +♥ or Brag	
5	Far from Home	Industrial District	Outfitters Test Hanger	Nighttime		Inquire +♥ or Lament Affirm +♥ or Deny	
Doug
1	Facts and Feelings	Residential District	Ishmael Hills	Afternoon	Pet Dog	Inquire or Worry +♥;Comment +♥ or Inquire	Unavailable Until Ch. 5
2	Caution and Conviction	Industrial District	Central Industrial District	Morning		Envy, Aid, or Admire	Additional Dialogue present if aid is chosen before "A Girl's Wings" Affinity Mission
3	Discipline and Discovery	Residential District	Sports Complex	Daytime		Propose +♥ or Preach Tolerance +♥;Come to Watch, Come to Exercise, or Come to Cheer	
4	Pastimes and Pride	Commercial District	Central Melville Stret	Anytime		Nod, Inquire, or Joke +♥;Sports Car, SUV +♥, or Bus	
5	Love and Loss	Administrative District	West of Division Drive	Anytime	Chapter 12	Dispose, Keep, or Plunder	You regain the gear taken from you in chapter 9 following this Heart-to-Heart
Elma
1	The Techie	Industrial District	West Gate	Afternoon		Praise or Worry;Agree +♥ or Disagree +♥	
2	Petting Zoo	Residential District	Water Purification Plant	Night	Pet Cat	Nod or Shake your Head;Cats, Dogs +♥, or Elma	Unavailable Until Ch. 5
3	Driving Force	Commercial District	East of East Melville Street	Morning		Nod +♥ or Shake your Head;Show Off +♥ or Offer a Ride	
4	Friendship Treatise	Ma-non Ship	Starboard	Evening		The Pizza, The Light, or The Friendship	
5	Going Home	BLADE Barracks	Barracks Interior	Night		Agree +♥ or Disagree;Speculate +♥ or Inquire +♥	Dialogue Differs Post Chapter 12 if Inquire is chosen
Frye
1	Midnight Inspiration	Industrial District	Repenta Diner	Late Night		Beer +♥, Cocktail +♥, Wine, Vodka +♥, Sake +♥, Shrug	
2	The Ostrich's Obsession	Administrative District	Hangar	Night		Approve +♥ or Tease;Rough or Flawless	
3	Man's Best Friend	Residential District	Water Purification Plant	Anytime	Pet Cat;A Great Divide	Worry or Support	Unavailable until Ch. 7
4	Drinking Buddies	Commercial District	East Melville Street	Anytime	A Challanger Approaches	Older +♥, Younger, Neither	Unavailable until Ch. 10
5	Dulling the Pain	Industrial District	Integrated Production Plant	Anytime	Blitzkreig	Inquire or Confess;Suggest or Shrug	Unsure if this affinity mission is required, but as Frye mentions drinking with Phog I assume it is.
Gwin
