Miranium cost for all superweapons are  lv 30: 10000, lv 50: 20000, lv 60: 30000	All Superweapons are Right Slot Only													
Name	Location	Weapon Slot	Level	Force	Ammo	Hits	Fuel	Attribute	Battle Traits (All Superweapons have 8 Upgrades	-	Materials				
SRM-USP1040GG Drone-Storm 	Two Peas in a Pod	Back	30	2080	0			Physical	AttributeDmg.PHYS V,Overdrive.EXTEND V,SpecUp.Fuel-OD V		2 Dialek Glyph	2 Laser Light	3 Octopus Board	6 Qmoevan Capacitor	2 Aurorite
SRM-USP840SA G-Piledriver 	Two Peas in a Pod	Back	30	3200	0			Physical	PostionDmg.BACK V,Overdrive.APPEND-HP V,Damage.GP-GAIN V		2 Dialek Glyph	2 Laser Light	3 Octopus Board	6 Qmoevan Capacitor	2 Aurorite
SSM-USP640ME Voltaic-Tusk 	Two Peas in a Pod	Shoulder	30	4000	0			Electric	AttributeDmg.ELEC V,AppendLost.GP V,Weather.DAMAGE-RES V		2 Dialek Glyph	2 Eerie Lightning Tentacle	3 Damask Metal	6 Tempered Blade Module	2 Aurorite
SRM-USP1060GG Drone-Storm 	Mech - Obliv - Beachside Trove ~FN317	Back	50	4160	0			Physical	AttributeDmg.PHYS VII,Overdrive.EXTEND VII,SpecUp.Fuel-OD VII		6 Tempus Glyph	6 Laser Light	12 Octopus Board	24 Qmoevan Capacitor	2 Lionbone Bort
SSM-USP1140SA Deus-Crusher 	Two Peas in a Pod	Shoulder	30	5440	0			Physical	AttributeDmg.PHYS V,AppendLost.ATK-UP V,AppendLost.GP V		2 Dialek Glyph	2 Laser Light	3 Octopus Board	6 Quality Crank	2 Aurorite
SRM-USP1080GG Drone-Storm 	Fathers and Sons]	Back	60	6240	0			Physical	AttributeDmg.PHYS IX,Overdrive.EXTEND IX,SpecUp.Fuel-OD IX		12 Libertas Glyph	12 Laser Light	24 Octopus Board	36 Qmoevan Capacitor	2 Everfreeze Ore
SRM-USP860SA G-Piledriver 	Mech - Noct - FN219 (lo)	Back	50	6400	0			Physical	PostionDmg.BACK VII,Overdrive.APPEND-HP VII,Damage.GP-GAIN VII		6 Tempus Glyph	6 Laser Light	12 Octopus Board	24 Qmoevan Capacitor	2 Lionbone Bort
SSM-USP660ME Voltaic-Tusk 	Mech - Noct - Weeping Whitewood	Shoulder	50	8000	0			Electric	AttributeDmg.ELEC VII,AppendLost.GP VII,Weather.DAMAGE-RES VII		6 Tempus Glyph	6 Eerie Lightning Tentacle	12 Damask Metal	24 Tempered Blade Module	2 Lionbone Bort
SSM-USP1240ME Barrage-Cloak 	Two Peas in a Pod	Shoulder	30	8000	0			Beam	Reflect.DAMAGE-UP V,Overdrive.FRAME-HP V,Spike.EVA V		2 Dialek Glyph	2 Laser Light	3 Octopus Board	6 Qmoevan Capacitor	2 Aurorite
SSM-USP540GG Electric-Flood 	Two Peas in a Pod	Shoulder	30	9600	0			Electric	Vehicle.DEBUFF-RES V,Overdrive.EXTEND V,Jamming V		2 Dialek Glyph	2 Eerie Lightning Tentacle	3 Damask Metal	6 All-Purpose Plug	2 Aurorite
SRM-USP880SA G-Piledriver 	Mia is Missing!	Back	60	9600	0			Physical	PostionDmg.BACK IX,Overdrive.APPEND-HP IX,Damage.GP-GAIN IX		12 Libertas Glyph	12 Laser Light	24 Octopus Board	36 Qmoevan Capacitor	2 Everfreeze Ore
SSM-USP1160SA Deus-Crusher 	Mech - Sylv - E of FN407	Shoulder	50	10880	0			Physical	AttributeDmg.PHYS VII,AppendLost.ATK-UP VII,AppendLost.GP VII		6 Tempus Glyph	6 Laser Light	12 Octopus Board	24 Quality Crank	2 Lionbone Bort
SSM-USP680ME Voltaic-Tusk 	Slovity's Revenge	Shoulder	60	12000	0			Electric	AttributeDmg.ELEC IX,AppendLost.GP IX,Weather.DAMAGE-RES IX		12 Libertas Glyph	12 Eerie Lightning Tentacle	24 Damask Metal	36 Tempered Blade Module	2 Everfreeze Ore
SSM-USP560GG Electric-Flood 	Mech - Noct - ~FN207	Shoulder	50	14400	0			Electric	Vehicle.DEBUFF-RES VII,Overdrive.EXTEND VII,Jamming VII		6 Tempus Glyph	6 Eerie Lightning Tentacle	12 Damask Metal	24 All-Purpose Plug	2 Lionbone Bort
SSM-USP1260ME Barrage-Cloak 	Bio - Sylv - N of FN407	Shoulder	50	16000	0			Beam	Reflect.DAMAGE-UP VII,Overdrive.FRAME-HP VII,Spike.EVA VII		6 Tempus Glyph	6 Laser Light	12 Octopus Board	24 Qmoevan Capacitor	2 Lionbone Bort
SSM-USP1440SA Megaflame-B 	Two Peas in a Pod	Shoulder	30	16000	1			Thermal	AttributeDmg.THERM V,Overdrive.APPEND-HP V,Crush.APPEND V		3 Dialek Glyph	3 Laser Light	4 Octopus Board	9 Qmoevan Capacitor	2 Aurorite
